Category,Pool ID,Base Asset,Pair Asset,Liquidity,Fees Collected,Capped Fees,Fee share,External $ Per Day,Adjusted Revenue,Adjusted Revenue Share,Match Capped Share,Fee APR,Current Share,Current Osmo APR,External APR,Is Matched,Target Share,Imbalance,Maturity,Adjusted Share,New Osmo APR,Current Total APR,New Total APR,Effective APR Change
,,,,173451222,26231.97223948785,26231.97223948785,,72.51956342580645,26122.9519595685,,,0.05520093636130777,,,,,,,,,,,,
OSMO_STABLE,678,OSMO,USDC,27126324,7410.9438672746255,7410.9438672746255,0.9137617096609322,0,7410.9438672746255,0.9137617096609322,0.9137617096609322,0.09971843260278238,0.20542948872365518,0.47088529757867986,0.0,False,0.19463124415777855,0.9474357618618109,4,0.1991968522961536,0.45659885371369135,0.5706037301814623,0.5563172863164737,-0.025037417579526156
OSMO_STABLE,674,OSMO,DAI,4153954,557.664377244661,557.664377244661,0.06875944061838855,0,557.664377244661,0.06875944061838855,0.06875944061838855,0.04900090316221635,0.037783652871778,0.5655689387261348,0.0,False,0.0355,0.9395597646546306,4,0.03633274959071281,0.5438509266627953,0.6145698418883512,0.5928518298250117,-0.03533855809879616
OSMO_STABLE,481,OSMO,EEUR,1321655,141.75990608377472,141.75990608377472,0.017478849720679316,0,141.75990608377472,0.017478849720679316,0.017478849720679316,0.03914967651964981,0.005163024491831308,0.24290103876347105,0.0,False,0.003722994990504694,0.7210879972378671,4,0.003963103013924454,0.18644921021233565,0.28205071528312087,0.22559888673198547,-0.2001477943229798
OSMO_MAJOR,1,OSMO,ATOM,72583712,8408.269051689966,8408.269051689966,0.7618850637501229,0,8408.269051689966,0.7618850637501229,0.7618850637501229,0.042282464196193734,0.1889183343589509,0.16183715058573,0.0,False,0.1775,0.9395594165188028,4,0.18166374795356405,0.15562249917823334,0.20411961478192375,0.1979049633744271,-0.030446125494290377
OSMO_MAJOR,704,OSMO,WETH,12742423,1416.0496695183335,1416.0496695183335,0.12831024864950963,0,1416.0496695183335,0.12831024864950963,0.12831024864950963,0.04056199746109447,0.0755673257435734,0.36874430821941623,0.0,False,0.071,0.9395595159861557,4,0.07266549918142562,0.35458432547948304,0.4093063056805107,0.3951463229405775,-0.0345950759697945
OSMO_MAJOR,712,OSMO,WBTC,10357249,906.0709971528111,906.0709971528111,0.08210036515056093,0,906.0709971528111,0.08210036515056093,0.08210036515056093,0.03193086445645712,0.0755673257435734,0.453662546316515,0.0,False,0.071,0.9395595159861557,4,0.07266549918142562,0.4362416568752234,0.4855934107729721,0.4681725213316805,-0.03587546505946371
OSMO_MAJOR,9,OSMO,CRO,3670854,305.74873840701525,305.74873840701525,0.027704322449806612,0,305.74873840701525,0.027704322449806612,0.027704322449806612,0.030401178995013305,0.02267018972306506,0.38400009611396374,0.0,False,0.0213,0.9395598475441516,4,0.021799649754427688,0.3692544130953656,0.41440127510897706,0.39965559209037893,-0.03558310242824514
MAJOR_STABLE,482,EEUR,ATOM,638714,147.06045367456517,147.06045367456517,1.0,0,147.06045367456517,1.0,1.0,0.08403928141737348,5.0700044109038375e-05,0.004935659507623286,0.0,False,0.0,0.0,4,3.891701422926307e-05,0.003788579175116149,0.08897494092499676,0.08782786059248962,-0.012892173016153974
OSMO_MINOR,497,OSMO,JUNO,7141395,1301.0435746444502,1301.0435746444502,0.29125965076269683,0,1301.0435746444502,0.29125965076269683,0.29125965076269683,0.0664969385876603,0.014895512959096274,0.1296927498704749,0.0,False,0.028951209285812067,1.943619488990634,4,0.019056159942537412,0.16591881002728578,0.19618968845813523,0.23241574861494607,0.18464813539138225
OSMO_MINOR,604,OSMO,STARS,3554143,145.62508547152353,145.62508547152353,0.032600531114659194,0,145.62508547152353,0.032600531114659194,0.032600531114659194,0.014955266627455926,0.005662164926083486,0.09905830851145375,0.0,True,0.003240492792797124,0.5723063236588853,4,0.004346239867620596,0.07603649404280757,0.11401357513890968,0.0909917606702635,-0.20192169608397337
OSMO_MINOR,722,OSMO,EVMOS,2762322,1615.6048869135063,1615.6048869135063,0.3616792890749483,0,1615.6048869135063,0.3616792890749483,0.3616792890749483,0.21347829243782215,0.03657526182047778,0.8232968078184333,0.0,True,0.03595092133404986,0.982929979025376,4,0.036794248517899954,0.8282261245196316,1.0367751002562555,1.0417044169574539,0.004754470569345193
OSMO_MINOR,3,OSMO,AKT,2003624,74.78416628481672,74.78416628481672,0.016741645383128428,0,74.78416628481672,0.016741645383128428,0.016741645383128428,0.013623424701420079,0.003842303342803908,0.11923910665619057,0.0,False,0.0016641195510829659,0.433104677744829,4,0.0029493263071616862,0.09152713951182398,0.13286253135761064,0.10515056421324406,-0.2085762393746473
OSMO_MINOR,584,OSMO,SCRT,1931524,349.9239497548396,349.9239497548396,0.078336136763867,0,349.9239497548396,0.078336136763867,0.078336136763867,0.06612511242962368,0.009475178243405071,0.3050215824323839,0.0,False,0.00778661199432838,0.8217905557341921,4,0.007969268274647152,0.25654386202739315,0.3711466948620076,0.3226689744570168,-0.13061606388011837
OSMO_MINOR,601,OSMO,CMDX,1641762,67.89118122365811,67.89118122365811,0.015198539171505812,0,67.89118122365811,0.015198539171505812,0.015198539171505812,0.01509371099260137,0.005988015209573232,0.22678586658495523,0.0,True,0.0015107347936476776,0.2522930788873778,4,0.004596360362425435,0.17407931200022495,0.2418795775775566,0.18917302299282632,-0.21790411208995264
OSMO_MINOR,2,OSMO,ION,1256393,102.17993525214435,102.17993525214435,0.022874631439325627,0,102.17993525214435,0.022874631439325627,0.022874631439325627,0.029684721553711844,0.002382162072481003,0.11789329008061651,0.0,False,0.0022737383650689672,0.9544851676279467,4,0.0023270751169816206,0.11516703459222195,0.14757801163432835,0.1448517561459338,-0.018473317658932342
OSMO_MINOR,690,OSMO,MNTL,945525,71.9675237774077,71.9675237774077,0.01611109439389234,0,71.9675237774077,0.01611109439389234,0.01611109439389234,0.027781545891175603,0.010121468805677861,0.6656007687406228,0.0,True,0.0016014427827528983,0.15822237004322276,4,0.0077691716536670025,0.510910691367021,0.6933823146317984,0.5386922372581967,-0.2230949277322506
OSMO_MINOR,15,OSMO,XPRT,808275,48.474287271345055,48.474287271345055,0.010851753359207005,0,48.474287271345055,0.010851753359207005,0.010851753359207005,0.021889969198652617,0.0029966626070964683,0.23052710298888635,0.0,True,0.0010786642839051763,0.3599551986102024,4,0.0023002181432004633,0.1769510600021339,0.25241707218753895,0.1988410292007865,-0.21225205776472567
OSMO_MINOR,42,OSMO,REGEN,617314,36.94315377287252,36.94315377287252,0.008270322590002389,0,36.94315377287252,0.008270322590002389,0.008270322590002389,0.021843423488044123,0.00037087032265718074,0.037355903589091244,0.0,False,0.0008220700654462376,2.2165970562333985,4,0.00047446262548345814,0.04779023559286135,0.059199327077135364,0.06963365908090548,0.17625761168153842
OSMO_MINOR,641,OSMO,UMEE,591788,56.31826683879772,56.31826683879772,0.012607755075006829,0,56.31826683879772,0.012607755075006829,0.012607755075006829,0.034735694870732706,0.003015932623861383,0.3168828758245699,0.0,False,0.0012532108544556788,0.41553012310041526,4,0.002315009678983459,0.24323717275181073,0.3516185706953026,0.2779728676225434,-0.20944770615252106
